,aid,answered,qid,tid,when
0,594,2,594,nazri.rahman,1 hour ago
1,592,4,593,mohamed.mubeen,1 day ago
2,595,2,593,nazri.rahman,1 hour ago
3,596,2,593,yuanjie.liu,1 hour ago
4,587,4,589,mohamed.mubeen,2 days ago
5,593,1,589,swetha.narayanan,22 hours ago
6,585,4,588,mohamed.mubeen,3 days ago
7,586,1,588,angel.siew,3 days ago
8,590,1,588,lai.wai.mun.%28.karen.%29,1 day ago
9,584,4,587,mohamed.mubeen,4 days ago
10,579,3,585,marsya.adlina,1 week ago
11,574,3,583,marsya.adlina,1 week ago
12,575,3,583,marsya.adlina,1 week ago
13,571,1,582,lee.wee.liang.cedric,1 week ago
14,567,3,581,ardon.low,1 week ago
15,568,2,581,lim.hwee.choo.28,1 week ago
16,569,2,581,lim.hwee.choo.28,1 week ago
17,563,1,580,lim.hwee.choo.88,1 week ago
18,597,2,580,yuanjie.liu,33 minutes ago
19,564,4,580,desmond.leong.29,1 week ago
20,570,3,580,ardon.low,1 week ago
21,583,1,580,jackson.tan.65,6 days ago
22,566,4,579,desmond.leong.29,1 week ago
23,562,4,578,desmond.leong.29,1 week ago
24,560,4,577,desmond.leong.29,1 week ago
25,561,2,577,corliss.lim.zi.hwee,1 week ago
26,554,1,575,wenguang.zhao,1 week ago
27,553,1,575,seoh.yi.jie.daniel,1 week ago
28,576,2,575,ma.jinyue,1 week ago
29,558,2,575,johnson.43,1 week ago
30,547,1,574,eric.quek,2 weeks ago
31,550,3,574,wong.chee.kong,1 week ago
32,552,2,574,kabeer.ahmed,1 week ago
33,556,2,574,corliss.lim.zi.hwee,1 week ago
34,545,3,571,ardon.low,2 weeks ago
35,546,2,571,sherlyn.15,2 weeks ago
36,551,3,571,wong.chee.kong,1 week ago
37,577,2,571,ma.jinyue,1 week ago
38,530,1,570,tian,2 weeks ago
39,544,2,570,sherlyn.15,2 weeks ago
40,557,2,570,johnson.43,1 week ago
41,535,5,570,patricia.teo,2 weeks ago
42,536,4,570,norwahidah.senin,2 weeks ago
43,528,1,568,madeline.leow,2 weeks ago
44,529,1,568,aloysius.teh,2 weeks ago
45,540,5,568,patricia.teo,2 weeks ago
46,548,1,568,ray.ng.10,1 week ago
47,527,1,567,samuel.seah.rui.yi,2 weeks ago
48,537,4,567,norwahidah.senin,2 weeks ago
49,538,4,567,norwahidah.senin,2 weeks ago
50,549,3,567,wong.chee.kong,1 week ago
51,526,1,566,albert.li.jia.wei,2 weeks ago
52,539,4,566,norwahidah.senin,2 weeks ago
